用户,评论
昕***修,国补忽悠人，手机到手了还不能弄国补
j***g,要是配个手机套就好了
j***q,还不错，出现过死机的情况
j***g,物流快 包装好 拍照效果可以
u***j,感觉还是不错的呢，服务还可以。
j***l,一般吧一般吧一般吧一般
草***猪,第一次购买，效果真的挺好的。
L***8,才买几天国补出来了 血亏500 手机是挺好用
j***l,还可以，续航还不错，屏幕看着有点累
L***人,盒子好脏，物流很快，当天拿到
j***f,手机还可以包装比较烂
1***t,目前来说用起来还算可以吧
j***0,感觉还行吧，持续体验中。
J***f,掉电很快！亲身体验！充电2小时
小***睡,耗电特别快 相机拍照偏糊
u***m,真费电，满电使用4到5小时后就得充电
q***x,这是今天突然拍照就闪光了
u***a,正常的价位手机，手感挺好的
j***6,就那样吧，看不出来哪里好
8***0,客服服务不错，但是东西像二手，换了两个都像，最后退了
u***j,手机偶有自行关机情况
腾***t,有一些瑕疵磕碰还行吧，能接受
k***v,手机很好，就是没想到降价这么快
幸***我,和当年买iphone12的时候毫无区别
_***定,这几次买电子产品外观都有小瑕疵。
j***g,盒子脏兮兮，本来过年送人的，这样还能送人么
j***h,为啥25年还能买到24年10月生产的手机？
j***t,手机目前没发现啥问题，但没领到国家补贴…
x***i,快递小哥，特别给力，全程陪伴我开机，态度极好！特别有耐心！
大***8,国补为什么必须要激活啊哦，苹果激活太麻烦了
k***1,机器速度很快 可惜没送充电器
j***z,手机还在体验当中，暂时还没有找到体验感觉
宋***8,照相机有卡顿现象，尤其拍摄第一张图片时。
u***q,电池耗电快 我哦米奇
无***雨,24年9月份的库存货😭
殷***珍,还行吧！勉强勉强用。
j***z,轻巧，设计一如既往，双摄可以裁切 2 倍还不错
邱***n,"手机通过爱思助手检测屏幕为J5V,不介意的话........"
d***6,16通病 耗电非常快
j***d,电池掉电快，其他还行
j***9,国补前买的，亏大了。
伊***丶,会断触，其他都还行。
j***z,才买十多天，耗电挺快
微***衍,还可以吧 有时候不知道为什么突然卡一下 手机是新的
j***n,还可以手机用的挺一办的。有时候会有点卡顿
j***b,买个国补机就这送货态度 不知道的还以为是你们京东补贴的
9***1,速度很快，手机很轻，处理器很快！！！手机很好用
l***0,5千买的手机，有轻微刮痕……客服补偿50元
呀***o,13换的没太大更新体验
甘***凉,颜值挺不错的，就是屏幕很黄。看得眼镜疼🤣
如***般,才收到货，还没有用。等用了再来评价
苏***i,手机壳都没送一个，钢化膜也没有，其他都挺好
吃***3,一直信任京东的电子产品，也买了很多个了，快递也快，这次却因为物流，晚到，延误送人，生气
w***懿,刚买几天，就国补500。
