用户,评论
j***i,喇叭有问题有杂音共振。
小***子,屏幕有点问题电池充电也有问题
李***l,买完就掉价差差差 七天价保 第八天就掉价唉
开***心,手机开视频拍视频就发烫发热
j***9,服务态度不好，一直联系不到人
夺***喵,才买半个月就降价200，不开心
4***u,7天价保刚过就降300 找客服了态度还不好
D***8,你们的都这样么，正常续航是多少。已申请退
j***e,到手第二天降一百块钱
j***-,尚未解决以旧换新事宜
h***C,电筒有时打不开不亮过一会又好了
u***b,后壳玻璃有裂纹，小心购买。
豆***浆,🌶︎🐔京东买了不到十天降价 200 块！
i***c,最后一次买苹果手机，自己想吧！！！！！
Z***4,屏幕上有一条划痕，找了客服几天没有人搭理
j***u,没有充电器，也没有手机壳
u***5,刚过七天保价就降价，这么6的吗
J***香,相机打开会黑屏，还会卡一下
嗯***耶,怎么都关不了音量，都会自动弹起来
j***9,第三次，前两次没有拍到
j***f,没见过这么脏这么破的盒子
j***y,不好用 价格有波动不稳定
c***8,有几次手机卡的不会动。
j***i,差，盒子包装脏，电池掉掉快
是***门,回来有磕碰，划痕。外包装简陋。
j***3,买完就降价 国补的还不保价
饭***甜,平台购物体验不太好，有点差
j***c,用了不到俩月，就出问题返回去维修了
j***9,里面还有23年的东西 你就买吧 要买一个不吱声
u***f,手机差。 闪烁灯打开来电不亮。
雨***6,过了价保期就降价，闹呢
j***w,购买之前特地问了国补内容，并未让我享受国补
a***Y,买完没几天就降了200 差价也不退
j***o,机子有问题 一拍照就卡死
j***x,不想再次够买，体验感不好
f***l,不要在京东上买 商家不行 跟客服没关系
j***o,不好 售后服务差 不解决问题 客服解决不了问题
u***4,骗国补的，自己知道就行
c***7,好的地方好，差的地方一如既往的差
j***x,刚买两天掉价700干嘛呢是
我***1,年前买，年后到，还天天催，才到，体验感及服务超差
j***g,信号差的一p，我在考虑要不要退
j***G,刚买不到一个月降价两百多
A***o,啥都不送，保护膜都不送一张
y***3,怎么大平台竟然卖有破损的盒子
c***e,才买就降价，还没有补贴
j***a,手机很好，但是国家补贴收获太麻烦了弄好久
u***f,才过一天就降了一百，还不给补差价
刘***菲,被这个傻逼手机的信号笑死
j***1,苹果手机没用几天就坏，是不是京东买到假货了
唯***6,忘记领国补卷，多花五百不给补差价啥劲
j***h,短期内大降价手机发热慢
j***7,手机卡顿特别是打开照相机
j***o,买回来用了一个多星期，电话信号不好。
毛***w,刚回来还没用手机都开始发烧了
u***f,卖完马上降价，且不能退差价。
j***y,前置摄像头里面有灰尘
j***b,买了个麻烦，退了售后不及时，还是实体比较靠谱
j***9,新买两天打着打着游戏自动关机
j***f,京东官方也能买到后封机，拆开里面屏幕有指纹！
e***g,不到一个月就冲不到电，开不了机！！！
9***1,国补不算价保，客服回复敷衍
j***s,苹果产品无需评价，京东的确是划算些。
j***b,手机用电很快 客服很垃
j***m,两个礼拜都没用到就降价了
