标题,价格,评价数,店铺,详情页
Apple/苹果 iPhone16（A3288）256GB 白色 支持移动联通电信5G 双卡双待手机,5969.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621616.html
Apple/苹果 iPhone16（A3288）128GB 白色 支持移动联通电信5G 双卡双待手机,5173.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621650.html
Apple/苹果 iPhone16 Pro Max 手机原装国行双卡双待 支持移动联通电信 5G 黑色钛金属 256GB 国行 标准版,9199.00,1000+,Apple恒天辉专卖店,https://item.jd.com/10122009884819.html
Apple/苹果 iPhone16（A3288）256GB 黑色 支持移动联通电信5G 双卡双待手机,5969.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100118874275.html
Apple【国行补贴】苹果16pro iPhone16pro 16pro 苹果手机 Asis机 16pro 6.3英寸 原色钛金属 256GB 【原装未使用+豪华大礼包】,7088.00,1万+,小王优品手机专营店,https://item.jd.com/10119136826053.html
Apple/苹果 iPhone16（A3288）256GB 深青色 支持移动联通电信5G 双卡双待手机,5969.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621666.html
Apple/苹果 iPhone16（A3288）128GB 黑色 支持移动联通电信5G 双卡双待手机,5173.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621636.html
Apple/苹果 iPhone16（A3288）128GB 群青色 支持移动联通电信5G 双卡双待手机,5173.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621662.html
【24期免息】苹果16promax iphone16promax5G全网通双卡双待手机 16ProMax 白色钛金属 256GB 公开版+12期免息,8399.00,500+,芭莎米亚数码买手店,https://item.jd.com/10141551918434.html
Apple/苹果 iPhone16 256GB 白色 支持移动联通电信5G 手机【返移动话费券】,5869.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100130562863.html
Apple/苹果 iPhone16（A3288）256GB 粉色 支持移动联通电信5G 双卡双待手机,5969.01,100万+,Apple产品京东自营旗舰店,https://item.jd.com/100142621630.html
Apple/苹果 iPhone16 256GB 黑色 支持移动联通电信5G 手机【返移动话费券】,5869.51,5万+,中国移动京东自营旗舰店,https://item.jd.com/100160152628.html
